folder_path,has_policy_yml,review_status,assignee,notes,id,name,version,description,policy_type,status,license,category,authors,tags,standard_body,methodology_id,methodology_version,token_type,token_standard,registry_status,hedera_timestamp,sdg_alignment,sector,roles,supersedes,superseded_by
Verra/VM0044,YES,merged,,,verra-vm0044,VM0044,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,"verra, vm0044, land-use",Verra,VM0044,,VCU,fungible,none,,,land-use,"Admin, Project Proponent, VVB",,
African Clean Enery (ACE),,not-started,,,ace-african-clean-enery-ace,African Clean Enery (ACE),1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,african-clean-energy,African Clean Energy,,,,,none,,,,,,
Clean Development Mechanism (CDM)/CDM ACM0001,,not-started,,,cdm-cdm-acm0001,CDM ACM0001,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM ACM0002,,not-started,,,cdm-cdm-acm0002,CDM ACM0002,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM ACM0007,,not-started,,,cdm-cdm-acm0007,CDM ACM0007,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM ACM0018,,not-started,,,cdm-cdm-acm0018,CDM ACM0018,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM AMS-I.A,,not-started,,,cdm-cdm-ams-i-a,CDM AMS-I.A,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM AMS-I.C,,not-started,,,cdm-cdm-ams-i-c,CDM AMS-I.C,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM AMS-I.D,,not-started,,,cdm-cdm-ams-i-d,CDM AMS-I.D,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
Clean Development Mechanism (CDM)/CDM AMS-I.E,,not-started,,,cdm-cdm-ams-i-e,CDM AMS-I.E,1.0.0,,standard-implementation,draft,Apache-2.0,carbon-credits,,cdm,CDM,,,CER,fungible,none,,,,"Admin, Project Proponent, VVB",,
